,reaction,GPR,score
1775,CDPDGPm_SC,PADL01_0819400-t36_1-p1,99.0
1779,CDPMEK,PADL01_0502000-t36_1-p1,54.3
1780,CDPPH,PADL01_1431800-t36_1-p1,68.2
1804,CEF,PADL01_1317000-t36_1-p1,29.075
1880,CFAS160E,PADL01_1342100-t36_1-p1,45.8
1881,CFAS160G,PADL01_1342100-t36_1-p1,45.8
1882,CFAS180E,PADL01_1342100-t36_1-p1,45.8
1883,CFAS180G,PADL01_1342100-t36_1-p1,45.8
1896,CHITOBpts,PADL01_1468900-t36_1-p1,10.32
1905,CHLDA1tu,PADL01_1229700-t36_1-p1,57.0
1906,CHLDA2tu,PADL01_1229700-t36_1-p1,57.0
1909,CHLPCTD,PADL01_1315500-t36_1-p1,193.0
1910,CHLSTD78I,PADL01_1306000-t36_1-p1,63.9
1911,CHLSTI_1,PADL01_1306000-t36_1-p1,63.9
1925,CHOLK,PADL01_1401300-t36_1-p1,76.6
1933,CHORS,PADL01_0621100-t36_1-p1,243.4
1937,CHRS,PADL01_0621100-t36_1-p1,223.4
1949,CHYA2,PADL01_1469500-t36_1-p1,330.5
1956,CITALOR,PADL01_0801300-t36_1-p1,47.4
1979,CITtam,PADL01_1035900-t36_1-p1,43.9
1980,CITtbm,PADL01_1035900-t36_1-p1,43.9
