,PfalciparumCD01,PfalciparumDd2,EhistolyticaHM1IMSS-A,TgondiiGAB2-2007-GAL-DOM2,Tgondiip89,EhellemATCC50504,CsuisWienI
4hproara_aragal_gal_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
prolb_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
mso3_e,not present in model,not present in model,not present in model,not present in model,not present in model,neither,neither
adfdOX_c,produced,produced,not present in model,produced,produced,not present in model,not present in model
anth_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
acon_C_c,produced,produced,not present in model,produced,produced,not present in model,produced
metox__R_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
mi1p__D_c,produced,produced,neither,neither,neither,not present in model,neither
thm_c,neither,neither,not present in model,neither,neither,not present in model,neither
2fe1s_c,neither,neither,neither,neither,neither,neither,neither
ppoh_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
g3pc_e,not present in model,not present in model,neither,not present in model,neither,not present in model,neither
6tins5mp_c,neither,neither,not present in model,produced,produced,not present in model,produced
adn_c,produced,produced,produced,produced,produced,neither,produced
pe1801829Z12Z_c,produced,produced,produced,produced,produced,neither,produced
cystrna_c,produced,produced,produced,produced,produced,produced,produced
accoa_m,produced,produced,not present in model,produced,produced,not present in model,produced
malACP_c,produced,produced,produced,produced,produced,not present in model,produced
dtpcudcpp_c,produced,produced,not present in model,produced,produced,produced,produced
pchlld_c,neither,neither,not present in model,neither,neither,not present in model,neither
q8_m,produced,produced,not present in model,produced,produced,not present in model,produced
5prdmbz_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
rephaccoa_c,neither,neither,not present in model,not present in model,not present in model,not present in model,not present in model
but_c,not present in model,not present in model,produced,produced,produced,not present in model,not present in model
lystrna_c,produced,produced,produced,produced,produced,produced,produced
sphings_c,produced,produced,produced,produced,produced,not present in model,produced
4c2me_c,produced,produced,not present in model,produced,produced,not present in model,neither
adhlam_c,produced,produced,not present in model,produced,produced,produced,produced
selhcys_c,produced,produced,produced,produced,produced,not present in model,produced
fa12_c,produced,produced,produced,produced,produced,neither,produced
ptrc_m,produced,produced,not present in model,produced,neither,not present in model,neither
tag1601819Z180_c,not present in model,not present in model,neither,produced,produced,produced,produced
3ohodcoa_m,not present in model,not present in model,not present in model,neither,neither,not present in model,produced
12dgr1801819Z_c,neither,neither,produced,produced,produced,produced,produced
3hocoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
oxag_m,produced,produced,not present in model,produced,produced,not present in model,produced
h2s_c,produced,produced,produced,produced,produced,produced,produced
dad_5_c,produced,produced,produced,produced,produced,not present in model,produced
icolipaBR1_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
